date,open,high,low,close
2016-07-04,8728.32,8782.38,8712.12,8760.58
2016-07-05,8738.41,8747.06,8693.76,8716.07
2016-07-06,8673.53,8673.53,8569.15,8575.75
2016-07-07,8605.38,8653.7,8605.38,8640.91
2016-07-08,8605.38,8653.7,8605.38,8640.91
2016-07-11,8728.23,8795.8,8728.23,8786.47
2016-07-12,8794.73,8841.46,8794.3,8841.46
2016-07-13,8847.04,8865.42,8800.17,8857.75
2016-07-14,8837.76,8877.31,8818.26,8866.36
2016-07-15,8857.15,8949.85,8857.15,8949.85
2016-07-18,8952.61,9008.21,8952.61,9008.21
2016-07-19,9018.8,9034.87,8972.83,9034.87
2016-07-20,9013.52,9034.13,8969.19,9007.68
2016-07-21,9010.22,9075.89,9009.79,9056.56
2016-07-22,9055.17,9060.15,9004.24,9013.14
2016-07-25,9030.36,9085.91,8916.05,8991.67
2016-07-26,8983.55,9024.79,8960.48,9024.79
2016-07-27,9058.19,9084.9,9042.14,9063.39
2016-07-28,9060.48,9081.4,9015.35,9076.64
2016-07-29,9066.37,9071.51,8984.41,8984.41
2016-08-01,9008.74,9080.71,9008.74,9080.71
2016-08-02,9081.06,9086.42,9052.71,9068.76
2016-08-03,9000.82,9033.95,8948.4,9001.71
2016-08-04,9009.29,9035.25,8972.31,9024.71
2016-08-05,9025.76,9101.71,9023.23,9092.12
2016-08-08,9123.07,9153.99,9104.43,9150.26
2016-08-09,9154.0,9168.34,9127.63,9155.08
2016-08-10,9160.94,9200.42,9131.63,9200.42
2016-08-11,9168.7,9187.18,9063.81,9131.83
2016-08-12,9135.34,9173.72,9135.34,9150.39
2016-08-15,9152.36,9162.02,9117.26,9148.51
2016-08-16,9146.09,9165.58,9082.34,9110.36
2016-08-17,9121.18,9133.07,9073.27,9117.7
2016-08-18,9104.88,9128.8,9093.51,9122.5
2016-08-19,9139.69,9175.13,9034.27,9034.27
2016-08-22,9004.68,9012.72,8928.33,8981.81
2016-08-23,8987.07,9046.3,8986.76,9030.93
2016-08-24,9043.13,9054.76,9016.39,9017.38
2016-08-25,9034.47,9115.47,9031.34,9115.47
2016-08-26,9097.02,9131.72,9092.08,9131.72
2016-08-29,9117.53,9136.42,9027.35,9110.17
2016-08-30,9113.34,9134.37,9093.87,9110.56
2016-08-31,9122.19,9130.76,9044.5,9068.85
2016-09-01,9055.73,9069.13,8980.21,9001.15
2016-09-02,9015.63,9038.48,8958.81,8987.55
2016-09-05,9032.38,9100.05,9032.38,9090.13
2016-09-06,9102.83,9181.85,9098.6,9181.85
2016-09-07,9202.23,9278.88,9202.23,9259.07
2016-09-08,9241.95,9273.57,9224.89,9262.89
2016-09-09,9217.37,9217.37,9142.13,9164.88
